index,M,0,0.1,10
0,,0,2,9
1,,0,3,9
2,,0,5,9
3,,0,6,9
4,,0,11,8
5,,0,13,9
6,,0,16,10
7,,0,22,8
8,,0,25,10
9,,0,32,10
10,,0,34,10
11,,0,38,10
12,,0,42,10
13,,0,45,9
14,,0,46,9
15,,0,47,9
16,,0,50,10
17,,0,52,10
18,,0,55,10
19,,0,60,8
20,,0,61,10
21,,0,63,8
22,,0,66,10
23,,0,67,10
24,,0,69,8
25,,0,75,8
26,,0,77,10
27,,0,79,9
28,,0,80,9
29,,0,83,9
30,,0,90,9
31,,0,92,9
32,,0,96,9
33,,0,98,8
34,,1,2,10
35,,1,10,8
36,,1,17,10
37,,1,23,8
38,,1,24,8
39,,1,25,10
40,,1,39,9
41,,1,46,9
42,,1,48,8
43,,1,51,10
44,,1,53,10
45,,1,60,8
46,,1,62,8
47,,1,67,8
48,,1,68,9
49,,1,70,10
50,,1,71,9
51,,1,74,9
52,,1,75,8
53,,1,77,8
54,,1,84,8
55,,1,86,10
56,,1,94,9
57,,2,3,10
58,,2,7,10
59,,2,9,8
60,,2,14,8
61,,2,18,9
62,,2,29,8
63,,2,39,8
64,,2,40,10
65,,2,42,10
66,,2,46,8
67,,2,47,10
68,,2,60,9
69,,2,61,8
70,,2,65,9
71,,2,67,10
72,,2,73,8
73,,2,75,9
74,,2,77,8
75,,2,78,10
76,,2,86,8
77,,2,88,10
78,,2,90,9
79,,2,98,9
80,,2,99,9
81,,3,2,10
82,,3,4,8
83,,3,8,10
84,,3,9,9
85,,3,12,8
86,,3,15,8
87,,3,22,9
88,,3,25,10
89,,3,30,8
90,,3,37,8
91,,3,39,8
92,,3,45,9
93,,3,49,8
94,,3,50,9
95,,3,53,10
96,,3,55,8
97,,3,58,9
98,,3,60,9
99,,3,61,9
100,,3,68,10
101,,3,70,10
102,,3,75,9
103,,3,78,8
104,,3,86,10
105,,3,88,10
106,,3,89,10
107,,3,90,10
108,,3,91,10
109,,4,0,9
110,,4,5,9
111,,4,6,9
112,,4,11,9
113,,4,13,8
114,,4,14,9
115,,4,16,10
116,,4,18,10
117,,4,19,9
118,,4,29,9
119,,4,30,8
120,,4,33,9
121,,4,35,9
122,,4,39,10
123,,4,41,9
124,,4,51,9
125,,4,56,8
126,,4,59,8
127,,4,62,8
128,,4,66,10
129,,4,67,9
130,,4,70,10
131,,4,72,8
132,,4,74,9
133,,4,77,8
134,,4,78,10
135,,4,82,8
136,,4,89,8
137,,4,91,10
138,,4,95,8
139,,5,1,10
140,,5,4,8
141,,5,6,9
142,,5,7,9
143,,5,8,10
144,,5,14,10
145,,5,15,8
146,,5,16,10
147,,5,17,8
148,,5,24,10
149,,5,28,9
150,,5,34,8
151,,5,36,10
152,,5,37,8
153,,5,39,8
154,,5,46,9
155,,5,50,8
156,,5,53,8
157,,5,56,8
158,,5,57,10
159,,5,64,9
160,,5,75,10
161,,5,88,8
162,,5,90,10
163,,5,91,8
164,,5,95,8
165,,5,98,8
166,,5,99,10
167,,6,1,8
168,,6,4,9
169,,6,7,10
170,,6,11,8
171,,6,12,8
172,,6,14,8
173,,6,25,8
174,,6,26,9
175,,6,28,8
176,,6,34,10
177,,6,35,8
178,,6,36,10
179,,6,39,10
180,,6,40,9
181,,6,42,8
182,,6,43,8
183,,6,45,8
184,,6,51,10
185,,6,52,9
186,,6,53,8
187,,6,59,8
188,,6,63,9
189,,6,64,9
190,,6,65,10
191,,6,70,8
192,,6,72,9
193,,6,82,10
194,,6,86,10
195,,6,87,9
196,,6,90,10
197,,6,92,8
198,,6,95,8
199,,7,0,8
200,,7,2,10
201,,7,3,9
202,,7,14,9
203,,7,15,10
204,,7,17,8
205,,7,27,8
206,,7,28,9
207,,7,35,8
208,,7,42,8
209,,7,43,9
210,,7,44,9
211,,7,69,9
212,,7,70,9
213,,7,81,10
214,,7,87,9
215,,7,89,8
216,,7,91,9
217,,7,93,10
218,,7,95,9
219,,7,97,8
220,,8,2,8
221,,8,5,8
222,,8,9,10
223,,8,13,10
224,,8,14,9
225,,8,17,9
226,,8,18,8
227,,8,22,10
228,,8,27,10
229,,8,30,9
230,,8,34,9
231,,8,35,8
232,,8,38,10
233,,8,45,8
234,,8,50,10
235,,8,54,8
236,,8,58,9
237,,8,63,8
238,,8,66,8
239,,8,70,9
240,,8,75,10
241,,8,85,10
242,,8,86,9
243,,8,88,9
244,,8,89,9
245,,8,93,8
246,,8,96,10
247,,8,97,9
248,,8,98,10
249,,9,0,8
250,,9,2,10
251,,9,5,10
252,,9,11,9
253,,9,12,9
254,,9,21,8
255,,9,23,8
256,,9,24,9
257,,9,25,9
258,,9,26,10
259,,9,27,9
260,,9,32,9
261,,9,35,8
262,,9,37,8
263,,9,41,10
264,,9,42,10
265,,9,64,8
266,,9,66,9
267,,9,67,9
268,,9,69,10
269,,9,71,10
270,,9,74,10
271,,9,77,9
272,,9,78,10
273,,9,79,9
274,,9,82,10
275,,9,84,9
276,,9,85,9
277,,9,87,9
278,,9,89,9
279,,9,90,9
280,,9,94,9
281,,9,97,10
282,,10,2,8
283,,10,3,9
284,,10,6,10
285,,10,8,8
286,,10,15,10
287,,10,16,8
288,,10,17,10
289,,10,25,8
290,,10,29,10
291,,10,30,9
292,,10,31,10
293,,10,34,9
294,,10,47,10
295,,10,49,9
296,,10,58,9
297,,10,62,8
298,,10,69,10
299,,10,70,9
300,,10,72,8
301,,10,73,9
302,,10,82,9
303,,10,85,10
304,,10,90,10
305,,10,93,9
306,,10,97,10
307,,11,0,9
308,,11,1,10
309,,11,2,9
310,,11,4,9
311,,11,5,10
312,,11,7,9
313,,11,16,9
314,,11,18,10
315,,11,32,9
316,,11,40,10
317,,11,44,9
318,,11,48,8
319,,11,49,10
320,,11,56,8
321,,11,61,9
322,,11,66,10
323,,11,71,8
324,,11,79,10
325,,11,83,10
326,,11,88,8
327,,11,89,8
328,,11,94,10
329,,11,96,9
330,,12,1,8
331,,12,2,8
332,,12,4,9
333,,12,7,8
334,,12,9,10
335,,12,15,8
336,,12,17,8
337,,12,18,9
338,,12,19,8
339,,12,21,9
340,,12,24,10
341,,12,26,10
342,,12,27,9
343,,12,29,9
344,,12,31,8
345,,12,34,9
346,,12,35,8
347,,12,40,9
348,,12,49,10
349,,12,50,9
350,,12,51,8
351,,12,53,10
352,,12,58,9
353,,12,66,8
354,,12,79,8
355,,12,83,8
356,,12,85,10
357,,12,86,8
358,,12,89,9
359,,12,92,9
360,,12,94,9
361,,13,0,10
362,,13,4,9
363,,13,6,9
364,,13,10,9
365,,13,12,8
366,,13,16,8
367,,13,17,10
368,,13,19,10
369,,13,22,10
370,,13,25,8
371,,13,36,8
372,,13,39,9
373,,13,40,9
374,,13,45,10
375,,13,46,9
376,,13,52,10
377,,13,53,9
378,,13,55,8
379,,13,58,8
380,,13,67,9
381,,13,70,10
382,,13,71,10
383,,13,73,10
384,,13,74,8
385,,13,75,9
386,,13,78,10
387,,13,87,10
388,,13,92,9
389,,13,97,8
390,,14,1,8
391,,14,5,10
392,,14,14,9
393,,14,16,8
394,,14,21,8
395,,14,28,10
396,,14,29,10
397,,14,33,8
398,,14,34,9
399,,14,38,8
400,,14,41,10
401,,14,43,10
402,,14,50,9
403,,14,55,9
404,,14,60,9
405,,14,64,10
406,,14,70,9
407,,14,75,10
408,,14,76,10
409,,14,77,10
410,,14,86,9
411,,14,89,10
412,,14,90,9
413,,14,91,10
414,,14,92,10
415,,14,96,9
416,,15,1,10
417,,15,4,10
418,,15,5,10
419,,15,11,9
420,,15,12,8
421,,15,14,10
422,,15,18,10
423,,15,27,9
424,,15,34,9
425,,15,44,8
426,,15,45,8
427,,15,56,8
428,,15,59,10
429,,15,64,8
430,,15,66,8
431,,15,67,10
432,,15,68,9
433,,15,69,10
434,,15,70,10
435,,15,72,10
436,,15,80,9
437,,15,86,10
438,,15,90,9
439,,15,91,8
440,,15,92,10
441,,15,95,10
442,,15,98,8
443,,15,99,10
444,,16,0,9
445,,16,2,10
446,,16,12,9
447,,16,13,9
448,,16,15,9
449,,16,21,8
450,,16,25,8
451,,16,26,10
452,,16,32,9
453,,16,38,8
454,,16,41,9
455,,16,47,8
456,,16,54,10
457,,16,55,9
458,,16,57,9
459,,16,60,10
460,,16,68,8
461,,16,71,10
462,,16,78,8
463,,16,80,9
464,,16,84,10
465,,16,85,10
466,,16,87,10
467,,16,92,10
468,,16,94,8
469,,16,99,9
470,,17,3,10
471,,17,5,9
472,,17,12,9
473,,17,17,10
474,,17,19,8
475,,17,34,9
476,,17,36,9
477,,17,37,9
478,,17,38,9
479,,17,39,8
480,,17,46,9
481,,17,49,10
482,,17,50,10
483,,17,56,9
484,,17,64,9
485,,17,66,9
486,,17,69,8
487,,17,73,8
488,,17,78,8
489,,17,79,10
490,,17,81,9
491,,17,87,9
492,,17,88,8
493,,17,89,8
494,,17,91,10
495,,17,93,10
496,,17,98,10
497,,18,0,9
498,,18,12,9
499,,18,13,9
500,,18,15,9
501,,18,16,10
502,,18,23,10
503,,18,28,9
504,,18,31,9
505,,18,33,8
506,,18,37,10
507,,18,41,9
508,,18,42,10
509,,18,43,8
510,,18,46,9
511,,18,49,9
512,,18,50,9
513,,18,56,9
514,,18,57,8
515,,18,58,8
516,,18,61,8
517,,18,66,10
518,,18,70,10
519,,18,72,9
520,,18,82,8
521,,18,85,8
522,,18,89,9
523,,18,93,9
524,,18,99,10
525,,19,1,9
526,,19,3,9
527,,19,8,8
528,,19,10,9
529,,19,11,9
530,,19,12,8
531,,19,21,10
532,,19,22,10
533,,19,23,10
534,,19,24,10
535,,19,30,9
536,,19,33,9
537,,19,40,9
538,,19,47,9
539,,19,51,8
540,,19,52,10
541,,19,55,10
542,,19,60,9
543,,19,64,9
544,,19,73,10
545,,19,79,10
546,,19,81,10
547,,19,83,10
548,,19,87,10
549,,19,93,10
550,,19,95,10
551,,20,7,10
552,,20,15,9
553,,20,17,8
554,,20,21,9
555,,20,25,10
556,,20,34,9
557,,20,35,9
558,,20,42,10
559,,20,43,9
560,,20,45,8
561,,20,48,8
562,,20,50,8
563,,20,56,8
564,,20,60,8
565,,20,63,8
566,,20,65,8
567,,20,69,8
568,,20,77,9
569,,20,78,9
570,,20,82,8
571,,20,83,10
572,,20,84,8
573,,20,86,8
574,,21,1,8
575,,21,3,9
576,,21,5,10
577,,21,8,10
578,,21,13,9
579,,21,15,8
580,,21,16,10
581,,21,17,9
582,,21,20,9
583,,21,24,8
584,,21,26,8
585,,21,27,8
586,,21,30,8
587,,21,31,8
588,,21,39,8
589,,21,40,8
590,,21,42,8
591,,21,43,8
592,,21,46,10
593,,21,49,8
594,,21,54,10
595,,21,58,9
